method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
control__N0_random_same_mode_source__seed23402	LA	0.5563035163	0.7578640788	0.5218002813	0.5453586498	0.8440892642	0.8435622915	0.5563035163	B
control__N0_random_same_mode_source__seed23402	LV	0.5552095858	0.758667424	0.5220346929	0.5455930614	0.8462002413	0.8457054312	0.5552095858	B
control__N0_random_same_mode_source__seed23402	L	0.5566878679	0.7573303861	0.521331458	0.5444210033	0.8451447527	0.8445256418	0.5566878679	B
control__N0_random_same_mode_source__seed23402	Overall	0.5557740127	0.7580689398	0.5221812002	0.54556376	0.8454086248	0.8448876878	0.5554810354	B
control__N0_random_same_mode_source__seed23403	LAV	0.5547377532	0.7589749387	0.5248476324	0.5482887951	0.8460494572	0.8457076974	0.5547377532	B
control__N0_random_same_mode_source__seed23403	LA	0.5562781171	0.7575601287	0.5233239569	0.5462962963	0.8446924005	0.8441420575	0.5562781171	B
control__N0_random_same_mode_source__seed23403	LV	0.5553191365	0.7582314039	0.522620722	0.5459446789	0.8463510253	0.8458753645	0.5553191365	B
control__N0_random_same_mode_source__seed23403	L	0.5564206853	0.7572459845	0.5216830755	0.5448898265	0.8458986731	0.8453145342	0.5564206853	B
control__N0_random_same_mode_source__seed23403	Overall	0.555688923	0.7579980887	0.5231188467	0.5463548992	0.845747889	0.8452610018	0.5553718664	B
control__N1_shuffled_content__seed23411	LAV	0.5550638969	0.758683655	0.5221518987	0.5455930614	0.845747889	0.8453199575	0.5550638969	B
control__N1_shuffled_content__seed23411	LA	0.5564362432	0.7573668971	0.5218002813	0.5450070323	0.8475572979	0.8468839759	0.5564362432	B
control__N1_shuffled_content__seed23411	LV	0.5551976278	0.7584880455	0.5225035162	0.5461790905	0.8460494572	0.8455728628	0.5551976278	B
control__N1_shuffled_content__seed23411	L	0.5563875901	0.7570816737	0.5205110173	0.5434833568	0.8462002413	0.8455403416	0.5563875901	B
control__N1_shuffled_content__seed23411	Overall	0.5557713395	0.757900678	0.5217416784	0.5450656353	0.8463887214	0.8458301939	0.5555355253	B
control__N1_shuffled_content__seed23412	LAV	0.5553606632	0.7578535965	0.5222691045	0.5457102672	0.8449939686	0.844457391	0.5553606632	B
control__N1_shuffled_content__seed23412	LA	0.5562758162	0.7574644554	0.5208626348	0.5441865917	0.8468033776	0.8460420379	0.5562758162	B
control__N1_shuffled_content__seed23412	LV	0.5548607293	0.7583828034	0.5221518987	0.5454758556	0.8463510253	0.8457110939	0.5548607293	B
control__N1_shuffled_content__seed23412	L	0.5569106401	0.7568346623	0.521331458	0.5444210033	0.8452955368	0.8445267036	0.5569106401	B
control__N1_shuffled_content__seed23412	Overall	0.5558519622	0.7576281455	0.521653774	0.5449484294	0.8458609771	0.8451850345	0.5556881959	B
control__N1_shuffled_content__seed23413	LAV	0.5551540052	0.7579772472	0.5215658697	0.5451242382	0.843787696	0.8433355553	0.5551540052	B
control__N1_shuffled_content__seed23413	LA	0.5560879563	0.757451235	0.5233239569	0.5465307079	0.8452955368	0.8447091116	0.5560879563	B
control__N1_shuffled_content__seed23413	LV	0.5542373039	0.7585662943	0.5219174871	0.5453586498	0.8462002413	0.8456299445	0.5542373039	B
control__N1_shuffled_content__seed23413	L	0.5561967983	0.7570392299	0.5218002813	0.5447726207	0.8454463209	0.8448155355	0.5561967983	B
control__N1_shuffled_content__seed23413	Overall	0.5554190159	0.7577466927	0.5221518987	0.5454465541	0.8451824487	0.8446227184	0.555330679	B
control__N4_decision_randomization__seed23421	LAV	0.5553442157	0.7580483639	0.5222691045	0.545241444	0.8445416164	0.8442329341	0.5553442157	B
control__N4_decision_randomization__seed23421	LA	0.556740844	0.7569177471	0.5201593999	0.5434833568	0.8442400483	0.8437704236	0.556740844	B
control__N4_decision_randomization__seed23421	LV	0.5555684351	0.7580032623	0.5218002813	0.545241444	0.8455971049	0.8452117534	0.5555684351	B
control__N4_decision_randomization__seed23421	L	0.5564006264	0.757292122	0.5208626348	0.5441865917	0.8451447527	0.8446276601	0.5564006264	B
